title,address,business_model,description,email,foundation_year,founders_number,growth_stage,is_active,last_updated,link,staff_size,tags,telephone,total_team_size,website
52masterworks GmbH,"Maximilianstr. 54, 80538 München",," Die Crowd Art Collection vereint Elemente des Crowdfundings, Kunstsammelns und der Sharing-Economy zu einem innovativen Konzept.",info@52masterworks.com,,,,True,07.09.2017,https://www.munich-startup.de/startups/52masterworks-gmbh/,,"FinTech,FinTech | InsurTech | LegalTech | RegTech",+49 (0) 89- 21554083,,http://www.52masterworks.com
5 Euro StartUp,"Leopoldstraße 30, 80802 München",," Eigene Ideen verwirklichen – mit viel Unterstützung und ohne Risiko: Der Gründungswettbewerb „5 Euro StartUp“ ermöglicht es Studierenden aller Münchner Hochschulen, mit 5 Euro Startkapital in kürzester Zeit ein eigenes Unternehmen zu gründen und am Markt zu testen.",michael.kriegel@lmu.de,,,,True,12.04.2021,https://www.munich-startup.de/startups/5-euro-startup/,,,089-2180-72203,,http://www.5-euro-startup.de
additive elements GmbH,"Semmelweisstr. 8, 82152 Planegg",, Die hat sich auf die Entwicklung von Materialsystemen für den 3D Druck spezialisiert. Neben Forschung im Kundenauftrag bietet Sie auch eigene Produkte an.,kontakt@additive-elements.de,,,,True,10.04.2018,https://www.munich-startup.de/startups/additive-elements-gmbh/,,"3D-Technology,IT/Technologie",,,http://www.additive-elements.de
ACU GmbH,"Emmy Noether Ring 18, 85716 Unterschleißheim",," ACU ist ein Gründerzentrum für Startups und Wachstumsunternehmen, deren Geschäftsidee die Thematik digitale Transformation adressiert. ACU fungiert als Begleiter – von der wissenschaftlichen Ideenentwicklung bis hin zur erfolgreichen Gründung eines Unternehmens mit marktreifen Produkten und Diensten. ACU ist ein Ort der Kreativität und Begeisterung. Gründer, Unternehmer und Mitarbeiter haben Spaß an der Umsetzung ihrer Ideen. ACU residiert im Business Campus München Unterschleißheim. Unsere Gesellschafter sind der ICU e.V., Der Landkreis München, die Business Campus Gesellschaft und die Raiffeisen Bank München-Nord.",rudolf.haggenmueller@acu-net.de,2016,10,Growth-Stage,True,07.10.2019,https://www.munich-startup.de/startups/acu-gmbh/,40,Accelerator/Incubator,0160/93206839,50,http://www.acu-net.de
Aampere GmbH,"Am Kartoffelgarten 14, 81671 München",B2C," Aampere ist ein Startup im Bereich Elektromobilität. Mit unserer Plattform bieten wir einen einfachen Zugang zur Elektromobilität und ermöglichen unseren Kunden einen nachhaltigen Lebensstil. Wir sind der Überzeugung, dass das E-Auto und sein Ökosystem bestmöglich aufeinander abgestimmt werden müssen, um das volle nachhaltige Potential zu entfalten. Unseren MVP, einen Online-Shop für gebrauchte E-Autos, haben wir letztes Jahr erfolgreich gelauncht. Gestartet in Stuttgart, entwickeln wir uns weiter in München und vergrößern das Team.",info@aampere.io,2022,3,Seed-Stage,True,21.03.2023,https://www.munich-startup.de/startups/aampere-gmbh/,0,"(e)Commerce,B2C,eMobility,Mobility",+49 7052 84899 00,3,https://aampere.io/
ABC Venture Gates,"Konrad-Zuse-Platz 8-9, 81829 München",," is the catapult that helps the best growth-stage startups to break into Europe’s largest market. Exceptional industry partnerships, access to the best investment opportunities and a remarkable startup pipeline are at the core of our character. Our startups become also part of the exclusive Silicon Valley exchange experience, facilitating global scale-ups.",germany@abc-accelerator.com,,,,False,08.09.2021,https://www.munich-startup.de/startups/abc-venture-gates/,,Accelerator/Incubator,+49 176 43802610,,https://abc-accelerator.com/
Aboalarm GmbH,"Buttermelcherstr. 16, 80469 München",," Mit kündigen, widerrufen und verwalten Verbraucher schnell, einfach und rechtssicher ihre Verträge bei über 20.000 Anbietern – von Mobilfunk, Internet bis hin zu Kfz-Versicherung. Für eine Vielzahl der Kündigungen gewährt aboalarm eine Kündigungsgarantie, die im Streitfall mit Anbietern die anwaltlichen Kosten abdeckt. Mit dem Bankkonto-basierten Service Vertragscheck können Verbraucher sich in wenigen Augenblicken einen Überblick über alle ihre Laufzeitverträge verschaffen. Dieser Service wird auch als B2B-Software angeboten, Finlytics unterstützt Banken und Versicherer bei der Analyse von Transaktionsdaten im Bereich des Vertragsmanagements. Die Aboalarm GmbH wurde stets eigenkapitalfinanziert, bis sie 2018 zu 100 Prozent vom Vergleichsportal Verivox übernommen wurde. Das Unternehmen mit Sitz in München wird weiterhin von Mitgründer und Geschäftsführer Dr. Bernd Storm van’s Gravesande zusammen mit Arnold Brunner geführt. Seit der Gründung 2008 verschickte aboalarm mehr als 5,5 Millionen erfolgreiche Kündigungen. Über 15 Millionen vollständige Kündigungsschreiben wurden zudem von Nutzern erstellt und heruntergeladen.",info@aboalarm.de,,,,True,14.12.2018,https://www.munich-startup.de/startups/aboalarm-gmbh/,,"IT/Technologie,SaaS",,,https://www.aboalarm.de
addet labs UG,"Adolf-Lehne-Weg 8, 85598 Baldham",B2C," Shopping rund um die Uhr, rund um die Welt – der Online-Handel boomt. Big Data-Analysen prognostizieren Konsumwünsche, wecken vermeintliche Bedarfe und lenken das Verhalten von Verbrauchern in Richtung „immer mehr“ statt hin zu „nachhaltigem“ Konsum. In Zukunft geht es darum, bewussten Konsumenten eine Stimme zu geben. Denn 68% der Online-Konsumenten wollen nachhaltige Kaufentscheidungen treffen. Doch mangelndes Vertrauen sowie eine unzureichende Auswahl an digitalen Optionen halten sie vom bewussten Konsum ab. Wir von addet sind die App und Plattform für innovativen, impact-orientierten Konsum. Wir identifizieren und verbinden Marken und Konsumenten mit gleichen Werten, kreieren authentische Markenerlebnisse und stellen relevante Informationen zur Verfügung, um bewusste Kaufentscheidungen ohne Hürde möglich zu machen. addet setzt ein Statement für Veränderung und gestaltet das Online-Shopping von Morgen.",laura@addet-labs.com,2021,2,Startup-Stage,True,07.02.2022,https://www.munich-startup.de/startups/addet-labs-ug/,3,"(e)Commerce,B2C,Online Shopping",01732662758,5,https://addet.app
Actyx AG,"Edelsbergstr. 8, 80686  München",, Actyx entwickelt Lösungen für die digitale Industrie (Industrie 4.0).,joinus@actyx.io,,,,True,06.09.2017,https://www.munich-startup.de/startups/actyx/,,"Industry,IT/Technologie",+49 89 6385 7626,,http://www.actyx.io
Acton Capital,"Widenmayerstr. 29, 80538 München",," Acton Capital is a leading venture growth capital investor, based in Munich and Vancouver. Since 1999, the Acton team backs tech-enabled business models in Europe and North America on their way to market leadership. With more than two decades of experience and a deep understanding of how digitization is transforming industries, the team has invested more than €700M in 100+ companies across five fund generations in B2C- (MyTheresa, HomeToGo, Cazoo, Etsy) and B2B-industries (Mambu, Clio, SoSafe).",info@actoncapital.com,1999,,Growth-Stage,True,18.03.2022,https://www.munich-startup.de/startups/acton-capital/,,Investor,,,http://www.actoncapital.com
Across Property,"Heßstraße 89, 80797 München",B2C," Menschen, die in Immobilien investieren wollen, haben in der Regel Schwierigkeiten, das Risiko und die Rendite potenzieller Investitionen abzuschätzen wie auch Angebote zu finden, die ihren Anforderungen entsprechen. Across Property ist eine Immobilienplattform, die nutzerspezifische Investitionsmöglichkeiten generiert. Die generierten Investitionen sind profitabel und finanziell nachhaltig. Mit Hilfe von Big Data und AI analysieren wir sowohl Deine Bedürfnisse als auch den gesamten deutschen Immobilien- und Finanzierungsmarkt. Die Plattform kombiniert dann diese drei Komponenten und präsentiert Dir kauffertige Immobilieninvestments. Unsere Nutzer profitieren von einer schnellen Akquisition und sicheren Erträgen, auch in unsicheren Zeiten.",nikolas.vornehm@acrossproperty.com,2022,2,Seed-Stage,True,07.08.2022,https://www.munich-startup.de/startups/across-property/,0,PropTech / Real Estate,015731662285,2,https://www.acrossproperty.com/
accu:rate GmbH,"Rosental 5, 80331 München",," Wenn sich viele Menschen auf engem Raum bewegen, müssen Planer und Betreiber das Zusammenwirken von Mensch und Raum verstehen. bietet seit über drei Jahren erfolgreich die Analyse von Personenströmen als Dienstleistung an und jetzt auch die Software crowd:it. Dabei verwendet accu:rate das modernste wissenschaftliche Modell und entwickelt es ständig weiter.",marketing@accu-rate.de,,,,True,06.09.2017,https://www.munich-startup.de/startups/accurate-gmbh/,,"IT/Technologie,SaaS",089/21553869,,http://www.accu-rate.de
absence.io,"Seidlstr. 23, 80335 München",," ist eine online Lösung für die Personalverwaltung von klein- und mittelständischen Unternehmen. Ob Urlaubsverwaltung, Zeiterfassung oder digitale Personalakte. Mit der modularen Lösung von absence.io zahlt der Kunde nur das, was er tatsächlich nutzt. Damit verbannen wir zeitintensive, intransparente und unflexible Excel-Listen aus dem Büroalltag und ersetzen diese mit einer einfachen und intuitiven online Applikation.",nik@absence.io,,,,True,18.12.2017,https://www.munich-startup.de/startups/absence-io/,,"IT/Technologie,SaaS",0176/61655074,,http://www.absence.io
Abracar,"Ganghoferstr. 66e, 80339 München",," Abracar, gegründet 2016 mit Sitz in München, ist Deutschlands größter Automakler. Wir stehen Autobesitzern als vertrauenswürdiger Servicepartner beim Auto verkaufen zur Seite und sind dabei der einfachste Weg das Auto zum besten Preis zu verkaufen.",info@abracar.de,,,,False,08.09.2021,https://www.munich-startup.de/startups/abracar/,,"Automotive,Mobility",089 12089205‎,,http://www.abracar.de
AIM Advanced Identification Methods GmbH,"Zenettistr. 37 RGB, 80337 München",," We are a startup from the scientific field. Following ten years of scientific work in the Barcoding project of the Bavarian State Collection of Zoology in Munich, we now offer end-to-end services in the areas of genetic analysis and species identification as well as Biomonitoring 2.0. For that, any customer, also from nonscientific fields, can use our services without specific knowledge and will be able to easily interpret the results provided. We have gained professional experience in barcoding at the ZSM, as well as in the world-wide project BOLD, with headquarters in Guelph, Canada. We now employ this expertise in the identification of samples for agencies, universities, and private organizations.",info@aimethods-lab.com,,,,True,01.10.2018,https://www.munich-startup.de/startups/aim-advanced-identification-methods-gmbh/,,"BioTech,Life Science",,,http://www.aimethods-lab.com
Agile Robots AG,"Staffelseestraße 8, 81477 München",Sonstiges," Agile Robots ist eine Ausgründung vom Deutschen Zentrum für Luft und Raumfahrt vom Institut für Robotik und Mechatronik. Seit unserer Gründung 2018 entwickeln wir die nächste Generation von intelligenten Robotern. Dank unserer erfolgreichen Series C Finanzierung im September 2021 sind wir das erste Robotik-Einhorn weltweit. Mit unseren Lösungen wollen wir die Lücke zwischen AI und der realen Welt schließen. Dafür entwickeln wir nicht nur die Hardware, also Roboterarme und-hände, die auf modernster Drehmomentensensorik basiert, sondern auch die intelligente Software die dahinter liegt. Damit möchten wir erreichen, dass der Mensch in Zukunft noch enger mit Robotern zusammenarbeiten kann und dass Roboter in noch mehr Anwendungsgebieten eingesetzt werden können.",welcome@agile-robots.com,2018,2,Startup-Stage,True,24.05.2022,https://www.munich-startup.de/startups/agile-robots-ag/,80,"Artificial Intelligence,IT/Technologie,Robotics",089 277814 101,82,https://www.agile-robots.com/
adnymics GmbH,"Dachauer Straße 15a, 80335 München",," bietet mit “ ein weltweit einzigartiges System zur Produktion von individualisierten Print-Werbemitteln für Online-Versandhändler, die den Versandpaketen beigelegt werden. Durch Analyse des Surfverhaltens von Online-Käufern generiert eine eigens entwickelte Empfehlungssoftware für jeden Käufer individuelle und auf Ihn zugeschnittene Produktangebote. Die Produtkempfehlungen werden dann als hochwertige Flyer/Broschüren direkt in der Logistik von Online-Händlern ausgedruckt und im Paket mit den Waren an den Online-Käufer gesendet. Adnymics hat damit eine Kombination aus Online-Tracking und dem vertrauensstarken Medium Print geschaffen wodurch die Wiederkaufrate in Online-Shops signifikant gesteigert wird.",info@adnymics.com,,,,True,04.09.2017,https://www.munich-startup.de/startups/adnymics-gmbh/,,"Big Data,IT/Technologie",+49 (0) 89 2154 691-0,,http://www.adnymics.com
AINOHA,"Am Glockenbach 7, 80469 München",, AINOHA – Your Source of Health and Style,hello@ainoha.com,,,,True,05.09.2017,https://www.munich-startup.de/startups/ainoha/,,"(e)Commerce,B2C,Online Shopping",089 209 369 89,,http://www.ainoha.com
Air Up,"Schillerstraße 40b, 80336 München",B2C," Die Weltneuheit Air Up verleiht purem Wasser Frucht-Geschmack – nur über Duft! Durch die Trennung von Flüssigkeit und Geschmack schafft Air Up leckeren Geschmack ohne Kalorien, ohne Zusatzstoffe und ohne jeden Firlefanz. Das Trinksystem von Air Up macht sich dabei einen Trick zu Nutze — das retronasale Riechen durch den Mund. Über die Duft-Pods der Trinkflasche wird purem Wasser beim Trinken aromatisierte Luft hinzugefügt, die als Geschmack wahrgenommen wird. Mit Leitungswasser befüllt ist Air Up nicht nur gesund, sondern auch nachhaltig. Wer Air Up nutzt, spart nicht nur PET-Flaschen ein, sondern auch CO2. Die Duft-Pods (ausreichend für mind. 5 Liter) wiegen nämlich nur wenige Gramm und verbrauchen deshalb weniger Kraftstoff und Volumen für den Transport.",hallo@air-up.com,,5,Growth-Stage,True,12.09.2023,https://www.munich-startup.de/startups/air-up/,13,"Food,FoodTech,Getränke",,18,https://www.air-up.com/
Agenturmatching,"Gotzinger Str. 8, 81371 München",B2B," Matching best business partners. Wir bieten eine B2B Matching-Plattform für Agenturen und Unternehmen und verkürzen die Suche nach der richtigen Agentur von Wochen auf Minuten. In 2015 gegründet, seit März 2020 ein Team mit dem belgischen Scale-up Sortlist: das Münchener Startup Agenturmatching. Mit dem Zusammenschluss entsteht die europaweit größte Matchingplattform im Werbe- und Marketingbereich mit einem monatlichen Projektvolumen von 35 Millionen Euro Vorteile für Agenturen sind: doppelte Sichtbarkeit, die vielfache Anzahl Briefings, künftig keine Provision und die einfache Verwaltung durch zentralen Admin-Bereich Sophie und Axel, beide haben Agenturmatching gegründet, bleiben an Bord, sowie das gesamte deutsche Team Informationen und Kontakt: Axel Roitzsch",axel.roitzsch@agenturmatching.de,2015,2,Later-Stage,True,16.09.2020,https://www.munich-startup.de/startups/agenturmatching/,15,"IT/Technologie,SaaS",+49 89 21 54 18 91,17,http://www.agenturmatching.de
AEVO GmbH,"Agnes-Pockels-Bogen 1, 80992 München",," The company AEVO GmbH researches and develops collision avoidance systems for flight vehicles, with focus on small unmanned vehicles. Our vision is to provide flight vehicles with the intelligence to autonomously react to their environment. This capability will allow them to better adapt to circumstances, to cooperate with other vehicles in performing more demanding tasks, and fullfill their potential by trully becoming artificially intelligent.",info@aevo-cas.com,,,,True,06.09.2017,https://www.munich-startup.de/startups/aevo-gmbh/,,"Big Data,Industry,IT/Technologie,SaaS",,,http://www.aevo-cas.com
agrilution GmbH,"Centa-Hafenbrädl-Straße 61, 81249 München",," Inspiriert von Vertical Farming gründeten Max Lössl und Philipp Wagner 2013 die Firma Agrilution. Die Vision: frische Salate, Kräuter und Microgreens in der eigenen Küche ernten – ohne Pestizide, ohne lange Transportwege. Dafür vollgepackt mit Nährstoffen und Vitaminen, so nah und damit so frisch am Ort des Verzehrs wie möglich. Das heute internationale 30-köpfige Team aus Produktdesignern, Pflanzenwissenschaftlern, Technikern und Vertriebsleuten entwickelte das erste Personal Vertical Farming Ecosystem für private Küchen und Restaurants. Das Design spielte dabei stets eine große Rolle. Die Pflanzen stehen im Mittelpunkt. Kein Schnick-Schnack. Klare Linien, hochwertige Materialien und das Bestreben, die Ästhetik der Pflanzen zu unterstreichen. Dank des Plantcubes ist es vielen Menschen in Städten möglich, Greens mit einem unglaublichen Geschmack, Textur und Nährstoffgehalt in den eigenen vier Wänden anzubauen. Die automatische Bewässerung, Klima- und Lichtsteuerung, das leichte Anpflanzen mit vorproduzierten Saatmatten sowie die Steuerung über die App sorgen für eine einfache Handhabung. Doch im Kopf geht die Reise schon weiter. Was, wenn man in ein paar Jahren auf Basis seiner persönlichen Bedürfnisse bei sich zuhause das ernten kann, was der Körper tatsächlich braucht um gesund zu sein und auch möglichst lange zu bleiben?",info@agrilution.com,,2,Growth-Stage,True,11.09.2019,https://www.munich-startup.de/startups/agrilution-gmbh/,30,"Food,FoodTech,IoT,IT/Technologie,Smart Home",089 21547670,32,https://agrilution.com/
